nome,nome,votos
MESSIAS REIS DA SILVA,MESSIAS REIS DA SILVA,14
ANDRÉ DOS SANTOS ABDON,ANDRÉ DOS SANTOS ABDON,13798
PAULA DE CARVALHO BASTONE,PAULA DE CARVALHO BASTONE,253
RAIMUNDO NONATO CÔRTES COSTA,RAIMUNDO NONATO CÔRTES COSTA,751
ANTONIO DE DEUS NUNES DOS SANTOS,ANTONIO DE DEUS NUNES DOS SANTOS,7918
FABIANA FERREIRA BARROS,FABIANA FERREIRA BARROS,16
JANETE MARIA GÓES CAPIBERIBE,JANETE MARIA GÓES CAPIBERIBE,21107
ALVARO DE OLIVEIRA CORREA JUNIOR,ALVARO DE OLIVEIRA CORREA JUNIOR,1230
EDILSON VIEIRA ROCHA,EDILSON VIEIRA ROCHA,4362
EMERSON SILVEIRA DA SILVA,EMERSON SILVEIRA DA SILVA,719
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,16161
MARCOS ROBERTO MARQUES DA SILVA,MARCOS ROBERTO MARQUES DA SILVA,6563
MARIA DALVA DE SOUZA FIGUEIREDO,MARIA DALVA DE SOUZA FIGUEIREDO,11593
EVANDRO COSTA MILHOMEN,EVANDRO COSTA MILHOMEN,8706
JOSÉ CARLOS TAVARES CARVALHO,JOSÉ CARLOS TAVARES CARVALHO,2461
EUDES GOMES DA COSTA,EUDES GOMES DA COSTA,1698
FRANCISCO CRISTIANO LUCENA,FRANCISCO CRISTIANO LUCENA,458
IZAIAS JOSE CRUZ CUNHA,IZAIAS JOSE CRUZ CUNHA,2220
JOSIVAN DOS SANTOS SOUSA,JOSIVAN DOS SANTOS SOUSA,442
RILDO FREDERICO FERREIRA,RILDO FREDERICO FERREIRA,201
UBIRANILDO DA SILVA MACEDO,UBIRANILDO DA SILVA MACEDO,2357
WALDIR PIRES BITTENCOURT,WALDIR PIRES BITTENCOURT,238
JAILSON GILSON SOARES NUNES,JAILSON GILSON SOARES NUNES,53
